inputfile,strategy,utility
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-2-1-4-0.csv,random,8
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-2-1-4-0.csv,dwave-classical,20
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-2-1-4-0.csv,random,13
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-2-1-4-0.csv,random,10
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-0.csv,random,87
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-0.csv,random,93
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-0.csv,dwave,182
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-1.csv,dwave,170
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,dwave,2939
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-2-1-4-0.csv,greedy-7,20
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-0.csv,greedy-7,168
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-1.csv,greedy-7,160
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-1.csv,greedy-7,151
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-1.csv,greedy-7,153
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-1.csv,greedy-7,166
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-4-4-4-1.csv,greedy-7,165
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2847
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2596
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2584
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2196
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,random,1552
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,random,1502
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,random,1583
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,random,1565
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2167
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2187
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1633
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1682
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1683
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1650
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1605
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1641
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2613
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2733
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1662
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1696
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1637
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1744
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1663
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1664
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1658
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1712
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1521
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,1531
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2290
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2296
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2485
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2669
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2410
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2390
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2398
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2626
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2591
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2653
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2632
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2661
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2529
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2544
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2433
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2509
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2494
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2517
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2643
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2594
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2699
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2799
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2749
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2741
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2756
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2774
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2736
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2806
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2854
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2881
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2876
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2689
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2864
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-9,2974
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2803
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2803
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2803
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2803
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2742
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2742
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2742
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2724
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2706
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2759
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2747
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2926
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/random_graphs/graph-2000-0.csv,greedy-12,4011
./max-cut-catalogue/random_graphs/graph-2000-0.csv,greedy-12,4007
./max-cut-catalogue/random_graphs/graph-2000-0.csv,greedy-12,4007
